action_id,group,n,both_correct,lost_correct,gained_correct,both_wrong_same_label,both_wrong_different_labels,reference_correct,candidate_correct,net_additional_errors,delta_recall_pp,changed_predicted_label
A001,A001-A060,500,456,6,4,30,4,462,460,2,-0.4,14
A002,A001-A060,500,423,6,6,56,9,429,429,0,0.0,21
A003,A001-A060,499,447,6,5,38,3,453,452,1,-0.20040080160320642,14
A004,A001-A060,500,451,5,3,38,3,456,454,2,-0.4,11
A005,A001-A060,502,452,7,8,28,7,459,460,-1,0.199203187250996,22
A006,A001-A060,502,488,1,0,12,1,489,488,1,-0.199203187250996,2
A007,A001-A060,502,443,8,3,44,4,451,446,5,-0.9960159362549801,15
A008,A001-A060,497,486,1,0,10,0,487,486,1,-0.2012072434607646,1
A009,A001-A060,498,491,0,1,5,1,491,492,-1,0.20080321285140562,2
A010,A001-A060,500,441,5,6,43,5,446,447,-1,0.2,16
A011,A001-A060,500,309,12,16,154,9,321,325,-4,0.8,37
A012,A001-A060,498,303,14,12,154,15,317,315,2,-0.40160642570281124,41
A013,A001-A060,499,447,4,2,44,2,451,449,2,-0.40080160320641284,8
A014,A001-A060,502,499,1,0,2,0,500,499,1,-0.199203187250996,1
A015,A001-A060,504,492,0,4,8,0,492,496,-4,0.7936507936507936,4
A016,A001-A060,502,448,3,4,45,2,451,452,-1,0.199203187250996,9
A017,A001-A060,502,405,5,12,80,0,410,417,-7,1.3944223107569722,17
A018,A001-A060,504,466,4,2,29,3,470,468,2,-0.3968253968253968,9
A019,A001-A060,504,461,3,4,31,5,464,465,-1,0.1984126984126984,12
A020,A001-A060,502,489,1,0,10,2,490,489,1,-0.199203187250996,3
A021,A001-A060,502,486,1,1,13,1,487,487,0,0.0,3
A022,A001-A060,503,493,1,1,7,1,494,494,0,0.0,3
A023,A001-A060,504,467,2,2,29,4,469,469,0,0.0,8
A024,A001-A060,503,470,5,4,22,2,475,474,1,-0.1988071570576541,11
A025,A001-A060,504,466,4,3,29,2,470,469,1,-0.1984126984126984,9
A026,A001-A060,504,500,0,0,4,0,500,500,0,0.0,0
A027,A001-A060,504,500,0,0,2,2,500,500,0,0.0,2
A028,A001-A060,501,437,7,4,46,7,444,441,3,-0.5988023952095808,18
A029,A001-A060,502,369,7,8,106,12,376,377,-1,0.199203187250996,27
A030,A001-A060,502,392,5,21,81,3,397,413,-16,3.187250996015936,29
A031,A001-A060,501,431,5,7,51,7,436,438,-2,0.3992015968063872,19
A032,A001-A060,504,457,2,1,36,8,459,458,1,-0.1984126984126984,11
A033,A001-A060,503,454,3,2,35,9,457,456,1,-0.1988071570576541,14
A034,A001-A060,503,437,6,9,45,6,443,446,-3,0.5964214711729622,21
A035,A001-A060,504,501,1,0,1,1,502,501,1,-0.1984126984126984,2
A036,A001-A060,503,485,2,1,13,2,487,486,1,-0.1988071570576541,5
A037,A001-A060,502,449,7,5,39,2,456,454,2,-0.398406374501992,14
A038,A001-A060,504,461,0,6,32,5,461,467,-6,1.1904761904761905,11
A039,A001-A060,504,466,4,4,27,3,470,470,0,0.0,11
A040,A001-A060,498,480,3,0,13,2,483,480,3,-0.6024096385542169,5
A041,A001-A060,504,421,9,7,56,11,430,428,2,-0.3968253968253968,27
A042,A001-A060,503,500,0,1,2,0,500,501,-1,0.1988071570576541,1
A043,A001-A060,504,482,2,2,18,0,484,484,0,0.0,4
