setup,samples,reference_correct,candidate_correct,reference_top1,candidate_top1,delta_top1,a61_samples,reference_a61_a120_top1,candidate_a61_a120_top1,lost_correct,gained_correct
1,2872,2619,2622,0.911908077994429,0.9129526462395543,0.0010445682451253482,0,,,20,23
3,3234,3036,3032,0.9387755102040817,0.9375386518243661,-0.0012368583797155227,0,,,29,25
5,2866,2619,2619,0.9138171667829728,0.9138171667829728,0.0,0,,,22,22
7,4288,3916,3922,0.9132462686567164,0.9146455223880597,0.0013992537313432835,0,,,27,33
9,2510,2370,2373,0.9442231075697212,0.9454183266932271,0.001195219123505976,0,,,8,11
11,4662,4247,4234,0.910982410982411,0.9081939081939082,-0.0027885027885027887,0,,,49,36
13,3947,3503,3511,0.8875095008867494,0.8895363567266278,0.0020268558398783888,0,,,35,43
15,2854,2581,2580,0.9043447792571829,0.9039943938332166,-0.000350385423966363,0,,,24,23
17,2869,2530,2541,0.8818403624956431,0.8856744510282328,0.0038340885325897525,0,,,29,40
19,3224,2601,2593,0.8067617866004962,0.8042803970223326,-0.0024813895781637717,3224,0.8067617866004962,0.8042803970223326,41,33
21,2144,1843,1830,0.8596082089552238,0.8535447761194029,-0.006063432835820896,2144,0.8596082089552238,0.8535447761194029,34,21
23,5032,4450,4440,0.8843402225755167,0.8823529411764706,-0.001987281399046105,5032,0.8843402225755167,0.8823529411764706,59,49
25,2517,2128,2134,0.8454509336511721,0.8478347238776321,0.0023837902264600714,2517,0.8454509336511721,0.8478347238776321,27,33
27,5384,4725,4700,0.8776002971768202,0.8729569093610698,-0.0046433878157503715,5384,0.8776002971768202,0.8729569093610698,84,59
29,5343,4668,4663,0.8736664795058956,0.8727306756503836,-0.0009358038555118847,5343,0.8736664795058956,0.8727306756503836,64,59
31,5731,5161,5157,0.90054091781539,0.899842959343919,-0.0006979584714709475,5731,0.90054091781539,0.899842959343919,53,49
